2022-10-28 19:38:03,976 - INFO: Namespace(bases=100, dataset='FB15k-237', dropout=0.3, embed_size=100, evaluate_every=1000, few=3, fine_tune=True, gpu=0, lr=0.001, margin=1.0, max_few=10, model='TransGEN', model_tail='log', n_epochs=25000, negative_sample=8, num_train_entity=500, pre_train=True, pre_train_emb_size='100', pre_train_model='DistMult', score_function='DistMult', seed=42, weight_decay=0.0)
2022-10-29 09:46:50,661 - INFO: Namespace(bases=100, dataset='FB15k-237', dropout=0.3, embed_size=100, evaluate_every=1000, few=3, fine_tune=True, gpu=0, lr=0.001, margin=1.0, max_few=10, model='TransGEN', model_tail='log', n_epochs=25000, negative_sample=8, num_train_entity=500, pre_train=True, pre_train_emb_size='100', pre_train_model='DistMult', score_function='DistMult', seed=42, weight_decay=0.0)
2022-10-29 09:47:13,196 - INFO: Namespace(bases=100, dataset='FB15k-237', dropout=0.3, embed_size=100, evaluate_every=1000, few=3, fine_tune=True, gpu=0, lr=0.001, margin=1.0, max_few=10, model='TransGEN', model_tail='log', n_epochs=25000, negative_sample=8, num_train_entity=500, pre_train=True, pre_train_emb_size='100', pre_train_model='DistMult', score_function='DistMult', seed=42, weight_decay=0.0)
2022-10-29 09:49:22,792 - INFO: Namespace(bases=100, dataset='FB15k-237', dropout=0.3, embed_size=100, evaluate_every=1000, few=3, fine_tune=True, gpu=0, lr=0.001, margin=1.0, max_few=10, model='TransGEN', model_tail='log', n_epochs=25000, negative_sample=8, num_train_entity=500, pre_train=True, pre_train_emb_size='100', pre_train_model='DistMult', score_function='DistMult', seed=42, weight_decay=0.0)
2022-10-29 09:50:45,479 - INFO: Namespace(bases=100, dataset='FB15k-237', dropout=0.3, embed_size=100, evaluate_every=1000, few=3, fine_tune=True, gpu=0, lr=0.001, margin=1.0, max_few=10, model='TransGEN', model_tail='log', n_epochs=25000, negative_sample=8, num_train_entity=500, pre_train=True, pre_train_emb_size='100', pre_train_model='DistMult', score_function='DistMult', seed=42, weight_decay=0.0)
2022-10-29 09:54:09,817 - INFO: Namespace(bases=100, dataset='FB15k-237', dropout=0.3, embed_size=100, evaluate_every=1000, few=3, fine_tune=True, gpu=0, lr=0.001, margin=1.0, max_few=10, model='TransGEN', model_tail='log', n_epochs=25000, negative_sample=8, num_train_entity=500, pre_train=True, pre_train_emb_size='100', pre_train_model='DistMult', score_function='DistMult', seed=42, weight_decay=0.0)
2022-10-29 10:19:49,821 - INFO: Namespace(bases=100, dataset='FB15k-237', dropout=0.3, embed_size=100, evaluate_every=1000, few=3, fine_tune=True, gpu=0, lr=0.001, margin=1.0, max_few=10, model='TransGEN', model_tail='log', n_epochs=25000, negative_sample=8, num_train_entity=500, pre_train=True, pre_train_emb_size='100', pre_train_model='DistMult', score_function='DistMult', seed=42, weight_decay=0.0)
2022-10-29 10:20:21,580 - INFO: Namespace(bases=100, dataset='FB15k-237', dropout=0.3, embed_size=100, evaluate_every=1000, few=3, fine_tune=True, gpu=0, lr=0.001, margin=1.0, max_few=10, model='TransGEN', model_tail='log', n_epochs=25000, negative_sample=8, num_train_entity=500, pre_train=True, pre_train_emb_size='100', pre_train_model='DistMult', score_function='DistMult', seed=42, weight_decay=0.0)
2022-10-29 10:29:28,961 - INFO: Namespace(bases=100, dataset='FB15k-237', dropout=0.3, embed_size=100, evaluate_every=1000, few=3, fine_tune=True, gpu=0, lr=0.001, margin=1.0, max_few=10, model='TransGEN', model_tail='log', n_epochs=25000, negative_sample=8, num_train_entity=500, pre_train=True, pre_train_emb_size='100', pre_train_model='DistMult', score_function='DistMult', seed=42, weight_decay=0.0)
2022-10-29 10:37:11,296 - INFO: Namespace(bases=100, dataset='FB15k-237', dropout=0.3, embed_size=100, evaluate_every=1000, few=3, fine_tune=True, gpu=0, lr=0.001, margin=1.0, max_few=10, model='TransGEN', model_tail='log', n_epochs=25000, negative_sample=8, num_train_entity=500, pre_train=True, pre_train_emb_size='100', pre_train_model='DistMult', score_function='DistMult', seed=42, weight_decay=0.0)
2022-10-29 10:37:20,910 - INFO: Namespace(bases=100, dataset='FB15k-237', dropout=0.3, embed_size=100, evaluate_every=1000, few=3, fine_tune=True, gpu=0, lr=0.001, margin=1.0, max_few=10, model='TransGEN', model_tail='log', n_epochs=25000, negative_sample=8, num_train_entity=500, pre_train=True, pre_train_emb_size='100', pre_train_model='DistMult', score_function='DistMult', seed=42, weight_decay=0.0)
